Rank,Country/region,Rice production (tonnes)
">1,000,000 tonnes",">1,000,000 tonnes",">1,000,000 tonnes"
1,India,265098885
2,China,255245235
3,Bangladesh,57189193
4,Indonesia,54748977
5,Vietnam,42672339
6,Thailand,34317028
7,Myanmar,24680200
8,Philippines,19756392
9,Cambodia,11624000
10,Pakistan,10983081
11,Brazil,10776268
12,Japan,10363900
13,Nigeria,8502000
14,United States,7274170
15,Egypt,5800000
16,Nepal,5486500
17,South Korea,4998223
18,Madagascar,4585000
19,Laos,3594800
20,Peru,3449365
21,Sri Lanka,3392905
22,Mali,2864723
23,Tanzania,2856500
24,Colombia,2620100
25,Guinea,2523305
26,Malaysia,2364453
27,North Korea,2061443
28,Ivory Coast,1993000
29,Democratic Republic of the Congo,1692323
30,Taiwan,1576000
31,Iran,1500000
32,Senegal,1409120
33,Sierra Leone,1397000
34,Uruguay,1372700
35,Ghana,1283000
36,Ecuador,1252800
37,Italy,1236960
38,Argentina,1222426
39,Dominican Republic,1149000
"100,000–1,000,000 tonnes","100,000–1,000,000 tonnes","100,000–1,000,000 tonnes"
40,Turkey,950000
41,Guyana,929600
42,Russia,920095
43,Paraguay,861500
44,Uganda,730000
45,Australia,691444
46,Bolivia,608681
47,Afghanistan,592000
48,Benin,525014
49,Nicaragua,504391
50,Venezuela,478473
51,Burkina Faso,438982
52,Kazakhstan,431391
53,Mauritania,403000
54,Panama,390000
55,Mozambique,365000
56,Uzbekistan,359147
57,Spain,350420
58,Cameroon,343103
59,Liberia,288000
60,Suriname,266204
61,Mexico,246989
62,Chad,231965
63,Guinea-Bissau,224000
64,Greece,214750
65,Ethiopia,208000
66,Kenya,192299
67,Cuba,183932
68,Togo,169608
69,Portugal,155570
70,Malawi,147000
71,Niger,144000
72,Haiti,140000
73,Rwanda,135075
74,Burundi,127484
75,Tajikistan,110399
76,Costa Rica,103740
77,Chile,100557
"10,000–100,000 tonnes","10,000–100,000 tonnes","10,000–100,000 tonnes"
78,Turkmenistan,86285
79,Timor-Leste,76000
80,France,64480
81,Bulgaria,64320
82,Zambia,62280
83,Central African Republic,51773
84,Honduras,51129
85,Morocco,49110
86,Gambia,44597
87,Kyrgyzstan,44248
88,Bhutan,41049
89,South Sudan,36515
90,Sudan,33000
91,Guatemala,32000
92,El Salvador,23000
93,North Macedonia,18981
94,Romania,16900
95,Belize,15364
96,Fiji,12991
97,Iraq,11637
98,Azerbaijan,10715
99,Angola,10563
100,Hungary,10150
"1,000–10,000 tonnes","1,000–10,000 tonnes","1,000–10,000 tonnes"
101,Brunei,4200
102,Ukraine,3090
103,South Africa,3082
104,Solomon Islands,2754
105,Zimbabwe,1923
106,Gabon,1730
107,Somalia,1588
108,Republic of the Congo,1000
109,Eswatini,1000
"<1,000 tonnes","<1,000 tonnes","<1,000 tonnes"
110,Papua New Guinea,887
111,Saudi Arabia,815
112,Algeria,307
113,Puerto Rico,179
114,Federated States of Micronesia,178
115,Trinidad and Tobago,125
116,Comoros,5
117,Hong Kong,0.06
